,0,1,2,3
TCGA-18-3406-01A-01R-1031-01,0.7724593631656145,0.1431713582444339,0.27062902857919424,-0.5563887340039328
TCGA-18-3407-01A-01R-1031-01,0.5608594923539951,0.4495644610685004,0.4837201715864174,0.49934278885452466
TCGA-18-3408-01A-01R-1031-01,-0.3124096539094461,-0.6573665335974576,-0.5537878671853044,0.4044606863572707
TCGA-18-3410-01A-01R-1031-01,-0.5739571292026499,-0.24259639657245202,-0.47218872658992384,-0.6235046180173012
TCGA-18-3411-01A-01R-1031-01,-0.46753624938040983,-0.4631267195705546,-0.7274272820138867,0.19435289171248646
TCGA-18-3412-01A-01R-1031-01,-0.5773467836991114,-0.5198125935743557,-0.5386383513832264,-0.3260893824290406
TCGA-18-3414-01A-01R-1031-01,0.5278554817440675,0.4160045546496925,0.6366428853658609,0.37814631747047417
TCGA-18-3415-01A-01R-1031-01,-0.44540108137663037,-0.5027121804064548,-0.7356685596683485,-0.08769327622465649
TCGA-18-3416-01A-01R-1031-01,-0.7222263139848113,-0.17462771851083506,-0.6024000378963145,-0.2915621814607172
TCGA-18-3419-01A-01R-1031-01,-0.6561888583939925,-0.3484554185951712,-0.4385141707150277,-0.5056681969961769
TCGA-18-3421-01A-01R-1031-01,-0.5359932336427414,-0.4782965587438995,-0.5122569413260264,-0.470676620883431
TCGA-18-4086-01A-01R-1101-01,-0.4945711139728436,-0.5108934307154414,-0.5443283290731888,-0.44507750543456726
TCGA-21-1075-01A-01R-0690-01,-0.502795368200998,-0.5485653492517312,-0.5351838354030637,-0.39981387874761865
TCGA-21-1076-01A-01R-0690-01,0.6116200073832099,0.5309462234483587,0.4932842736995409,0.31731325168546654
TCGA-21-1077-01A-01R-0690-01,-0.45654610963010156,-0.5558077011790804,-0.5435814059199485,-0.4326230509690132
TCGA-21-1078-01A-01R-0690-01,-0.49248836380208555,-0.5258149152569126,-0.4385244346422307,-0.5372803799085004
TCGA-21-1079-01A-01R-0690-01,0.14622301953465291,-0.6948436057248378,-0.32058693951917877,-0.6269251999650363
TCGA-21-1080-01A-01R-0690-01,-0.5020878557898351,-0.4964142498166382,-0.49084036068496023,-0.5104472724679879
TCGA-21-1083-01A-01R-0690-01,-0.5092360851276555,-0.4466836301369164,-0.4935646565163989,-0.5454780233972905
TCGA-22-0940-01A-01R-0690-01,-0.47259634877178586,-0.4773006651267974,-0.5062513093205739,-0.5408755661039774
