,0,1,2,3
TCGA-18-3406-01A-01R-1031-01,0.09829664375238328,0.7759572384467104,-0.3974990272800923,-0.479815232397381
TCGA-18-3407-01A-01R-1031-01,0.7357290140021677,0.23677314477424832,0.05457096930335667,-0.6321892953684071
TCGA-18-3408-01A-01R-1031-01,0.5387752992553065,-0.7572882535565553,0.20695634497401283,-0.3056219056491446
TCGA-18-3410-01A-01R-1031-01,-0.5081883009437521,0.4103216641902968,-0.5263499509698367,0.5443679929919264
TCGA-18-3411-01A-01R-1031-01,0.5612141020748731,-0.8037898480763296,-0.174274653713344,0.09267662507244735
TCGA-18-3412-01A-01R-1031-01,-0.17366498912414907,-0.8423362197949323,0.04224622730142309,0.5084539513593037
TCGA-18-3414-01A-01R-1031-01,-0.5681617830241342,0.09138316519700423,0.796711077517991,0.1846422605730751
TCGA-18-3415-01A-01R-1031-01,0.6503424296864658,-0.5954414039612561,-0.46627991615339814,-0.07132529978999456
TCGA-18-3416-01A-01R-1031-01,-0.07126623450239909,-0.324479391472639,-0.5356527458383737,0.7763442433645049
TCGA-18-3419-01A-01R-1031-01,-0.5966132305557654,-0.14618695112241,-0.07687776323332507,0.7853482272008945
TCGA-18-3421-01A-01R-1031-01,-0.5035871010536103,-0.4265738565447488,-0.39143430276596797,0.641259669075704
TCGA-18-4086-01A-01R-1101-01,0.3321146285633323,-0.5782443509946087,-0.5692305676668026,-0.48094688362728083
TCGA-21-1075-01A-01R-0690-01,0.07670200833507722,-0.9668315891680801,0.017250584566261787,-0.24301419184116188
TCGA-21-1076-01A-01R-0690-01,0.36453325598372566,0.6429350953615414,-0.41004243195512596,-0.5344297637956505
TCGA-21-1077-01A-01R-0690-01,0.40808819610510055,-0.3108261961298785,-0.39036359229455486,-0.7645046538838111
TCGA-21-1078-01A-01R-0690-01,-0.8865194950347803,0.008445624044258302,0.38909995013440785,-0.25022606811278164
TCGA-21-1079-01A-01R-0690-01,0.06211424539195554,0.1093441597757744,0.504371555705073,-0.8542804042221515
TCGA-21-1080-01A-01R-0690-01,-0.8966801476418103,-0.13171767846473242,-0.4072049185122825,-0.11313408126788396
TCGA-21-1083-01A-01R-0690-01,-0.4424896552403756,0.3826122927059261,-0.8088591909286658,-0.059645181915997235
TCGA-22-0940-01A-01R-0690-01,-0.08099024427707609,0.4037910793997759,-0.7726114749974581,-0.4831820083895464
