,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NTS,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.988
KRT14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.003
SPRR3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024
KRT13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016
UPK1B,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994
S100A7,1.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0
HLA-DQA1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGEA4,0.179,0.0,0.001,0.0,0.0,0.0,0.006,0.001,0.313,0.047,0.005,0.001,0.001,0.002,0.0,0.931
AKR1B10,0.062,0.0,0.001,0.0,0.0,0.001,0.001,0.006,0.023,0.899,0.0,0.005,0.0,0.0,0.0,0.433
GSTA1,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.021,0.864,0.0,0.001,0.0,0.0,0.0,0.504
SPRR1B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
SPRR1A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
SFTPC,0.014,0.021,0.049,0.051,0.075,0.15,0.039,0.063,0.054,0.087,0.064,0.058,0.006,0.028,0.97,0.04
RPS4Y1,1.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.004,0.0,0.0,0.001,0.0,0.0,0.0,0.005
MMP10,1.0,0.006,0.003,0.002,0.0,0.002,0.006,0.007,0.001,0.001,0.001,0.007,0.023,0.006,0.001,0.011
CES1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.027,0.986,0.001,0.001,0.0,0.0,0.0,0.167
LY6D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
