,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NTS,0.341,0.0,0.334,0.416,0.0,0.0,0.343,0.226,0.362,0.0,0.462,0.0,0.0,0.0,0.0,0.293
KRT14,0.428,0.257,0.398,0.539,0.0,0.0,0.0,0.0,0.056,0.0,0.438,0.0,0.166,0.0,0.0,0.283
SPRR3,0.413,0.222,0.271,0.46,0.0,0.0,0.407,0.0,0.107,0.0,0.488,0.0,0.0,0.0,0.0,0.281
KRT13,0.323,0.292,0.186,0.397,0.0,0.0,0.414,0.0,0.344,0.0,0.489,0.0,0.0,0.0,0.0,0.298
UPK1B,0.373,0.0,0.31,0.379,0.0,0.0,0.369,0.0,0.365,0.0,0.437,0.0,0.0,0.0,0.0,0.401
S100A7,0.277,0.29,0.674,0.393,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.0,0.279,0.0,0.119,0.063
HLA-DQA1,0.0,0.254,0.274,0.0,0.0,0.0,0.0,0.753,0.0,0.0,0.0,0.253,0.318,0.251,0.256,0.0
MAGEA4,0.0,0.395,0.414,0.319,0.0,0.333,0.0,0.0,0.278,0.341,0.428,0.0,0.289,0.0,0.0,0.0
AKR1B10,0.307,0.0,0.5,0.59,0.133,0.0,0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.358,0.0,0.0
GSTA1,0.0,0.0,0.452,0.5,0.0,0.0,0.394,0.465,0.0,0.0,0.377,0.0,0.0,0.177,0.0,0.0
SPRR1B,0.356,0.267,0.559,0.424,0.0,0.0,0.023,0.0,0.337,0.0,0.385,0.0,0.0,0.0,0.0,0.217
SPRR1A,0.423,0.271,0.307,0.49,0.0,0.0,0.088,0.0,0.365,0.0,0.46,0.0,0.0,0.0,0.0,0.247
SFTPC,0.0,0.0,0.215,0.0,0.456,0.071,0.0,0.275,0.0,0.0,0.406,0.0,0.0,0.385,0.396,0.442
RPS4Y1,0.0,0.45,0.286,0.405,0.0,0.274,0.383,0.0,0.0,0.0,0.488,0.303,0.0,0.0,0.0,0.0
MMP10,0.315,0.338,0.0,0.431,0.0,0.0,0.369,0.0,0.434,0.0,0.365,0.0,0.0,0.0,0.282,0.251
CES1,0.372,0.0,0.489,0.383,0.0,0.255,0.262,0.358,0.0,0.0,0.0,0.0,0.0,0.462,0.0,0.0
LY6D,0.339,0.406,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.576,0.18,0.0,0.0,0.0,0.342
KRT6B,0.418,0.351,0.381,0.501,0.0,0.0,0.0,0.0,0.217,0.0,0.466,0.0,0.0,0.0,0.0,0.202
KRT6A,0.392,0.321,0.335,0.421,0.0,0.0,0.312,0.0,0.355,0.0,0.406,0.0,0.0,0.0,0.0,0.255
