,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NTS,0.0,0.123,0.455,0.0,0.443,0.0,0.211,0.0,0.0,0.0,0.166,0.0,0.339,0.445,0.0,0.443
KRT14,0.252,0.209,0.0,0.0,0.341,0.0,0.381,0.445,0.0,0.0,0.0,0.0,0.374,0.403,0.0,0.361
SPRR3,0.0,0.311,0.554,0.0,0.368,0.0,0.032,0.0,0.0,0.0,0.221,0.181,0.333,0.374,0.0,0.358
KRT13,0.174,0.344,0.0,0.0,0.437,0.0,0.279,0.0,0.0,0.212,0.338,0.404,0.0,0.438,0.0,0.26
UPK1B,0.0,0.0,0.371,0.0,0.376,0.0,0.254,0.0,0.0,0.257,0.393,0.0,0.0,0.391,0.0,0.532
S100A7,0.068,0.387,0.347,0.0,0.0,0.162,0.375,0.42,0.0,0.0,0.0,0.357,0.23,0.0,0.449,0.0
HLA-DQA1,0.0,0.308,0.0,0.301,0.0,0.499,0.369,0.0,0.0,0.0,0.448,0.0,0.283,0.0,0.386,0.0
MAGEA4,0.0,0.0,0.0,0.308,0.0,0.564,0.22,0.371,0.0,0.34,0.0,0.0,0.201,0.309,0.0,0.387
AKR1B10,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.201,0.0,0.513,0.399,0.107,0.348,0.097,0.0,0.616
GSTA1,0.0,0.0,0.358,0.0,0.36,0.0,0.238,0.0,0.0,0.255,0.403,0.0,0.301,0.265,0.0,0.545
SPRR1B,0.0,0.335,0.0,0.0,0.369,0.0,0.507,0.466,0.0,0.0,0.0,0.0,0.238,0.469,0.0,0.0
SPRR1A,0.0,0.286,0.0,0.0,0.332,0.0,0.31,0.405,0.0,0.0,0.0,0.343,0.314,0.43,0.308,0.227
SFTPC,0.0,0.378,0.412,0.0,0.0,0.0,0.337,0.0,0.301,0.0,0.0,0.0,0.374,0.382,0.382,0.226
RPS4Y1,0.469,0.335,0.0,0.24,0.0,0.0,0.0,0.408,0.0,0.224,0.0,0.492,0.0,0.0,0.243,0.303
MMP10,0.0,0.0,0.432,0.132,0.376,0.0,0.452,0.44,0.302,0.0,0.0,0.0,0.0,0.359,0.0,0.192
CES1,0.0,0.0,0.0,0.0,0.406,0.342,0.206,0.0,0.0,0.276,0.372,0.0,0.298,0.225,0.0,0.567
LY6D,0.451,0.408,0.197,0.459,0.0,0.0,0.073,0.314,0.0,0.108,0.0,0.399,0.0,0.0,0.325,0.0
KRT6B,0.056,0.274,0.0,0.0,0.373,0.0,0.0,0.498,0.0,0.0,0.197,0.0,0.381,0.462,0.0,0.371
KRT6A,0.0,0.244,0.0,0.0,0.38,0.0,0.025,0.407,0.0,0.0,0.31,0.0,0.313,0.424,0.0,0.506
ADH1C,0.0,0.227,0.0,0.0,0.472,0.0,0.367,0.149,0.0,0.332,0.278,0.0,0.279,0.339,0.0,0.436
ADH7,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.477,0.473,0.0,0.359,0.312,0.0,0.426
FGG,0.0,0.358,0.315,0.0,0.0,0.0,0.383,0.0,0.0,0.0,0.0,0.284,0.39,0.455,0.432,0.0
SERPINB2,0.254,0.366,0.0,0.0,0.399,0.0,0.231,0.437,0.0,0.0,0.0,0.0,0.0,0.506,0.0,0.378
SCGB1A1,0.0,0.0,0.482,0.0,0.0,0.0,0.525,0.0,0.0,0.073,0.359,0.0,0.301,0.454,0.0,0.246
KRT5,0.355,0.416,0.0,0.221,0.0,0.449,0.0,0.433,0.0,0.0,0.36,0.0,0.0,0.148,0.0,0.333
PLUNC,0.0,0.168,0.0,0.388,0.445,0.0,0.511,0.0,0.0,0.0,0.345,0.0,0.273,0.41,0.0,0.0
LTF,0.0,0.372,0.503,0.172,0.0,0.0,0.433,0.0,0.0,0.346,0.0,0.0,0.509,0.111,0.0,0.0
SFTPB,0.0,0.336,0.452,0.0,0.0,0.0,0.354,0.0,0.0,0.265,0.0,0.0,0.371,0.416,0.421,0.0
CEACAM5,0.0,0.419,0.336,0.107,0.422,0.0,0.342,0.0,0.0,0.0,0.0,0.0,0.344,0.411,0.0,0.344
FBN2,0.0,0.0,0.35,0.0,0.0,0.49,0.0,0.0,0.0,0.243,0.367,0.0,0.368,0.348,0.0,0.434
DEFB1,0.0,0.559,0.0,0.492,0.348,0.0,0.257,0.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224
NR0B1,0.0,0.0,0.0,0.0,0.329,0.444,0.0,0.0,0.0,0.319,0.335,0.0,0.301,0.0,0.0,0.624
CXCL14,0.0,0.0,0.0,0.0,0.415,0.0,0.453,0.505,0.05,0.301,0.0,0.0,0.419,0.314,0.0,0.0
CLCA2,0.0,0.0,0.0,0.0,0.376,0.33,0.354,0.41,0.0,0.0,0.209,0.0,0.356,0.404,0.0,0.352
SERPINB3,0.0,0.433,0.363,0.136,0.339,0.0,0.344,0.386,0.0,0.0,0.0,0.0,0.366,0.0,0.0,0.383
WIF1,0.0,0.0,0.0,0.0,0.295,0.37,0.0,0.0,0.0,0.0,0.415,0.0,0.352,0.296,0.0,0.626
KRT15,0.0,0.161,0.0,0.122,0.459,0.0,0.292,0.445,0.0,0.0,0.457,0.282,0.0,0.421,0.0,0.0
UCHL1,0.0,0.0,0.0,0.132,0.0,0.411,0.0,0.0,0.0,0.425,0.508,0.0,0.398,0.0,0.0,0.466
AKR1C3,0.0,0.0,0.0,0.0,0.0,0.431,0.212,0.0,0.0,0.396,0.448,0.0,0.438,0.0,0.0,0.468
PTHLH,0.0,0.0,0.0,0.0,0.0,0.492,0.392,0.415,0.0,0.0,0.397,0.0,0.416,0.16,0.0,0.275
