,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
KRT17,0.0,0.001,0.001,0.508,0.0,0.055,0.0,0.001,0.0,0.448,0.001,0.612,0.011,0.001,0.405,0.003
PI3,0.001,0.013,0.039,0.061,0.01,0.227,0.004,0.019,0.001,0.869,0.004,0.07,0.016,0.016,0.426,0.02
CXCL6,0.061,0.097,0.156,0.023,0.412,0.046,0.11,0.876,0.03,0.065,0.028,0.02,0.032,0.058,0.012,0.016
GPC3,0.005,0.02,0.038,0.009,0.042,0.148,0.014,0.014,0.004,0.034,0.009,0.006,0.005,0.015,0.986,0.015
SFTPD,0.025,0.03,0.006,0.032,0.005,0.015,0.031,0.025,0.04,0.023,0.067,0.091,0.047,0.041,0.03,0.988
C4BPA,0.032,0.032,0.008,0.023,0.006,0.013,0.043,0.028,0.038,0.023,0.064,0.091,0.049,0.041,0.02,0.988
MAGEA1,0.995,0.018,0.004,0.012,0.005,0.007,0.014,0.012,0.02,0.006,0.013,0.073,0.031,0.025,0.011,0.029
MAGEA9,0.048,0.113,0.063,0.065,0.083,0.067,0.082,0.938,0.083,0.101,0.091,0.108,0.085,0.114,0.077,0.124
KRT23,0.116,0.811,0.044,0.082,0.045,0.015,0.071,0.16,0.265,0.086,0.266,0.104,0.217,0.127,0.02,0.256
DSG3,0.001,0.01,0.052,0.075,0.011,0.137,0.002,0.01,0.0,0.975,0.002,0.048,0.018,0.009,0.14,0.006
S100P,0.001,0.027,0.151,0.01,0.003,0.0,0.0,0.857,0.06,0.039,0.48,0.0,0.075,0.006,0.0,0.019
MAGEA12,0.066,0.896,0.115,0.139,0.074,0.156,0.022,0.085,0.038,0.105,0.072,0.15,0.106,0.103,0.232,0.083
S100A2,0.0,0.001,0.002,0.711,0.0,0.004,0.0,0.001,0.0,0.315,0.007,0.624,0.07,0.002,0.011,0.004
CLCA4,0.0,0.001,0.002,0.009,0.0,0.0,0.0,0.006,0.035,0.004,0.998,0.0,0.048,0.001,0.0,0.003
CLDN1,0.018,0.511,0.086,0.08,0.223,0.006,0.043,0.164,0.673,0.175,0.265,0.015,0.293,0.081,0.001,0.015
PTPRZ1,0.001,0.009,0.023,0.014,0.01,0.099,0.002,0.006,0.001,0.031,0.004,0.008,0.005,0.007,0.994,0.007
DEFB4,0.994,0.002,0.002,0.0,0.001,0.0,0.111,0.007,0.002,0.001,0.001,0.008,0.009,0.003,0.0,0.004
PENK,0.087,0.904,0.091,0.113,0.085,0.06,0.033,0.122,0.139,0.096,0.196,0.065,0.122,0.113,0.101,0.132
TFPI2,0.237,0.03,0.006,0.935,0.008,0.002,0.022,0.028,0.117,0.012,0.088,0.151,0.145,0.048,0.002,0.025
CLDN8,0.0,0.001,0.037,0.0,0.008,0.473,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.0,0.865,0.0
TMPRSS11D,0.015,0.038,0.125,0.02,0.052,0.093,0.066,0.095,0.02,0.973,0.043,0.021,0.042,0.041,0.055,0.043
CALML5,0.999,0.009,0.008,0.002,0.007,0.001,0.019,0.012,0.021,0.003,0.013,0.003,0.016,0.009,0.0,0.005
PRSS21,0.015,0.715,0.114,0.005,0.543,0.298,0.255,0.09,0.003,0.08,0.004,0.041,0.009,0.052,0.083,0.03
SERPINA3,0.009,0.031,0.017,0.043,0.007,0.051,0.012,0.019,0.004,0.037,0.014,0.99,0.033,0.029,0.072,0.065
TSPAN7,0.0,0.001,0.007,0.0,0.003,0.968,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.252,0.0
CCL20,0.082,0.05,0.201,0.019,0.35,0.1,0.283,0.843,0.024,0.138,0.018,0.02,0.041,0.057,0.02,0.015
PROM1,0.55,0.762,0.057,0.006,0.245,0.016,0.134,0.093,0.119,0.012,0.05,0.018,0.029,0.078,0.006,0.052
PADI3,0.001,0.0,0.0,0.062,0.0,0.0,0.0,0.001,0.078,0.0,0.995,0.001,0.025,0.0,0.0,0.0
BNC1,0.003,0.018,0.023,0.971,0.007,0.091,0.005,0.015,0.004,0.086,0.016,0.129,0.043,0.023,0.143,0.021
IVL,0.0,0.0,0.0,0.193,0.0,0.0,0.0,0.001,0.019,0.002,0.28,0.077,0.937,0.001,0.0,0.013
MAGEA11,0.138,0.167,0.154,0.0,0.925,0.03,0.262,0.061,0.002,0.017,0.001,0.001,0.002,0.013,0.003,0.002
CTSE,0.006,0.013,0.003,0.024,0.001,0.009,0.005,0.01,0.019,0.012,0.07,0.07,0.031,0.019,0.039,0.993
FABP4,0.011,0.006,0.002,0.199,0.0,0.001,0.002,0.009,0.015,0.01,0.037,0.168,0.964,0.012,0.001,0.011
MAGEB2,0.998,0.014,0.01,0.003,0.008,0.005,0.057,0.009,0.005,0.004,0.005,0.014,0.016,0.012,0.002,0.01
FGFBP1,0.0,0.002,0.006,0.005,0.006,0.976,0.0,0.001,0.0,0.015,0.0,0.004,0.001,0.002,0.215,0.001
TUBB2B,0.999,0.014,0.013,0.002,0.027,0.012,0.013,0.006,0.008,0.003,0.005,0.002,0.004,0.009,0.013,0.008
AGR2,0.002,0.065,0.338,0.023,0.044,0.063,0.002,0.079,0.017,0.916,0.099,0.002,0.03,0.021,0.129,0.039
CXCL1,0.014,0.06,0.095,0.057,0.13,0.071,0.103,0.104,0.011,0.96,0.015,0.106,0.058,0.056,0.019,0.022
DLK1,0.186,0.877,0.083,0.058,0.135,0.036,0.06,0.13,0.241,0.058,0.217,0.034,0.103,0.113,0.039,0.11
NQO1,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.0
PDZK1IP1,0.013,0.02,0.019,0.013,0.005,0.001,0.056,0.976,0.014,0.07,0.024,0.113,0.133,0.024,0.0,0.082
LCN2,0.0,0.011,0.166,0.005,0.054,0.183,0.003,0.022,0.0,0.961,0.002,0.002,0.004,0.006,0.109,0.005
DKK1,0.004,0.038,0.047,0.044,0.039,0.084,0.007,0.032,0.015,0.074,0.033,0.013,0.021,0.027,0.988,0.03
TMSL8,0.377,0.81,0.18,0.049,0.195,0.022,0.034,0.139,0.204,0.061,0.186,0.019,0.132,0.088,0.013,0.039
MMP1,0.001,0.011,0.011,0.468,0.001,0.022,0.003,0.014,0.002,0.676,0.014,0.557,0.107,0.018,0.023,0.015
WFDC2,0.045,0.05,0.024,0.004,0.007,0.011,0.017,0.036,0.012,0.012,0.041,0.021,0.02,0.024,0.021,0.995
CEACAM6,0.007,0.071,0.078,0.119,0.018,0.104,0.008,0.067,0.012,0.213,0.053,0.141,0.086,0.053,0.227,0.91
COCH,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DSC3,0.0,0.008,0.062,0.109,0.004,0.112,0.0,0.008,0.0,0.975,0.003,0.033,0.02,0.006,0.139,0.004
IGF2,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.04,0.0,0.997,0.001,0.012,0.0,0.0,0.001
MMP13,0.009,0.016,0.008,0.995,0.004,0.002,0.001,0.018,0.025,0.017,0.039,0.047,0.071,0.017,0.003,0.009
CEL,0.219,0.076,0.001,0.002,0.107,0.007,0.61,0.03,0.456,0.002,0.067,0.063,0.01,0.577,0.002,0.108
GSTM3,0.017,0.016,0.031,0.002,0.056,0.15,0.985,0.015,0.006,0.022,0.008,0.005,0.004,0.017,0.047,0.011
FZD10,0.0,0.0,0.0,0.004,0.001,0.994,0.001,0.0,0.0,0.002,0.0,0.006,0.0,0.001,0.112,0.0
TCN1,0.001,0.029,0.444,0.012,0.015,0.233,0.001,0.021,0.0,0.824,0.003,0.01,0.012,0.008,0.259,0.011
SERPINB5,0.0,0.0,0.005,0.11,0.0,0.121,0.0,0.0,0.0,0.313,0.0,0.01,0.002,0.0,0.936,0.0
NRN1,0.11,0.097,0.893,0.054,0.173,0.063,0.148,0.181,0.139,0.137,0.146,0.028,0.105,0.104,0.045,0.078
PTN,0.013,0.017,0.049,0.011,0.024,0.992,0.015,0.008,0.001,0.03,0.004,0.016,0.008,0.012,0.101,0.007
PTGS2,0.003,0.011,0.004,0.585,0.001,0.001,0.0,0.013,0.018,0.016,0.043,0.145,0.796,0.014,0.004,0.012
IGKV1-5,0.035,0.019,0.011,0.017,0.026,0.035,0.994,0.025,0.019,0.025,0.016,0.054,0.022,0.035,0.016,0.024
IL1F9,0.002,0.018,0.039,0.144,0.004,0.084,0.005,0.024,0.002,0.936,0.014,0.281,0.066,0.023,0.091,0.032
LMO3,0.032,0.063,0.032,0.045,0.026,0.055,0.034,0.054,0.048,0.057,0.083,0.072,0.057,0.065,0.088,0.975
IL1A,0.01,0.02,0.021,0.64,0.004,0.024,0.001,0.016,0.01,0.052,0.032,0.213,0.731,0.026,0.063,0.013
BEX1,0.158,0.692,0.015,0.066,0.024,0.012,0.33,0.104,0.183,0.038,0.192,0.362,0.201,0.143,0.008,0.328
DMBT1,0.013,0.046,0.019,0.04,0.015,0.076,0.037,0.035,0.017,0.058,0.041,0.109,0.037,0.049,0.125,0.975
TOX3,0.003,0.006,0.003,0.003,0.0,0.0,0.0,0.006,0.046,0.001,0.999,0.0,0.009,0.003,0.001,0.015
FOLR1,0.029,0.055,0.021,0.038,0.018,0.039,0.029,0.041,0.046,0.042,0.078,0.067,0.05,0.055,0.074,0.982
TSPYL5,0.262,0.065,0.032,0.014,0.091,0.034,0.1,0.041,0.943,0.015,0.099,0.014,0.028,0.062,0.022,0.032
CYP4F11,0.0,0.0,0.0,0.0,0.0,0.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329,0.0
KLK11,0.01,0.039,0.037,0.128,0.007,0.07,0.016,0.049,0.018,0.945,0.082,0.179,0.101,0.05,0.129,0.107
TFF3,0.01,0.052,0.988,0.01,0.084,0.061,0.006,0.046,0.008,0.048,0.019,0.004,0.014,0.02,0.066,0.019
HP,0.018,0.077,0.179,0.021,0.074,0.371,0.011,0.05,0.004,0.12,0.016,0.034,0.021,0.039,0.638,0.625
COL11A1,0.011,0.016,0.005,0.064,0.004,0.016,0.013,0.012,0.01,0.02,0.018,0.996,0.035,0.024,0.018,0.025
AQP3,0.001,0.001,0.001,0.006,0.0,0.0,0.0,0.005,0.071,0.001,0.997,0.0,0.04,0.001,0.0,0.002
ALDH1A1,0.004,0.022,0.065,0.003,0.096,0.169,0.01,0.017,0.003,0.041,0.005,0.002,0.003,0.012,0.977,0.011
CYP4B1,0.021,0.014,0.004,0.015,0.001,0.002,0.006,0.017,0.102,0.007,0.991,0.014,0.039,0.018,0.005,0.063
CP,0.016,0.777,0.295,0.01,0.152,0.279,0.02,0.09,0.04,0.116,0.119,0.004,0.022,0.05,0.4,0.089
RHCG,0.004,0.021,0.105,0.069,0.017,0.192,0.005,0.022,0.001,0.96,0.008,0.075,0.036,0.019,0.126,0.011
BCHE,0.0,0.042,0.003,0.087,0.0,0.07,0.0,0.001,0.0,0.024,0.001,0.317,0.011,0.003,0.94,0.028
CYP26A1,0.0,0.002,0.001,0.005,0.001,0.042,0.001,0.001,0.0,0.005,0.002,0.007,0.001,0.002,0.999,0.007
TNC,0.091,0.078,0.063,0.104,0.059,0.091,0.082,0.079,0.049,0.096,0.071,0.948,0.096,0.092,0.075,0.083
CLDN10,0.192,0.898,0.1,0.036,0.049,0.018,0.058,0.133,0.119,0.057,0.193,0.058,0.159,0.093,0.016,0.17
VTCN1,0.001,0.013,0.027,0.008,0.021,0.078,0.001,0.006,0.002,0.022,0.005,0.002,0.003,0.007,0.996,0.006
SERPINB7,0.042,0.016,0.008,0.074,0.001,0.002,0.029,0.026,0.013,0.024,0.029,0.319,0.941,0.027,0.002,0.037
IGFBP2,0.009,0.022,0.06,0.015,0.056,0.107,0.004,0.017,0.005,0.035,0.01,0.005,0.007,0.014,0.989,0.009
S100A9,0.004,0.06,0.235,0.066,0.065,0.064,0.015,0.882,0.003,0.356,0.01,0.118,0.071,0.037,0.03,0.035
GPR87,0.016,0.006,0.052,0.273,0.007,0.021,0.039,0.055,0.007,0.916,0.022,0.228,0.159,0.023,0.005,0.002
CXCL9,0.006,0.001,0.001,0.0,0.009,0.001,1.0,0.002,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.001
AHNAK2,0.001,0.014,0.035,0.291,0.003,0.07,0.0,0.019,0.002,0.898,0.017,0.088,0.041,0.014,0.305,0.02
FMO3,0.012,0.055,0.2,0.016,0.115,0.023,0.012,0.964,0.025,0.096,0.036,0.004,0.028,0.03,0.024,0.023
FOXE1,0.001,0.005,0.012,0.007,0.011,0.971,0.002,0.003,0.001,0.019,0.002,0.004,0.002,0.005,0.236,0.003
CA12,0.0,0.001,0.02,0.036,0.002,0.09,0.0,0.004,0.0,0.991,0.0,0.023,0.004,0.002,0.081,0.001
GREM1,0.015,0.022,0.009,0.053,0.008,0.035,0.019,0.016,0.009,0.031,0.017,0.994,0.035,0.031,0.037,0.038
TSPAN8,0.077,0.157,0.179,0.058,0.11,0.147,0.051,0.117,0.059,0.112,0.119,0.051,0.081,0.1,0.188,0.894
MSMB,0.014,0.061,0.446,0.005,0.366,0.031,0.025,0.809,0.011,0.074,0.015,0.001,0.013,0.02,0.011,0.006
KRT31,0.081,0.739,0.225,0.018,0.588,0.082,0.063,0.138,0.057,0.084,0.043,0.014,0.039,0.075,0.03,0.034
KRT4,0.001,0.024,0.156,0.005,0.036,0.003,0.001,0.063,0.01,0.984,0.019,0.001,0.035,0.008,0.001,0.008
SPINK1,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.052,0.0,0.999,0.0,0.004,0.0,0.0,0.003
AREG,0.012,0.027,0.02,0.985,0.009,0.04,0.006,0.02,0.015,0.047,0.036,0.102,0.059,0.032,0.078,0.03
ANXA10,0.0,0.002,0.021,0.008,0.001,0.096,0.0,0.002,0.01,0.01,0.931,0.0,0.003,0.002,0.35,0.001
CXCL10,0.028,0.004,0.003,0.0,0.016,0.003,0.999,0.005,0.003,0.002,0.002,0.002,0.002,0.005,0.0,0.002
PRAME,0.031,0.522,0.053,0.007,0.584,0.417,0.102,0.049,0.01,0.039,0.006,0.015,0.005,0.052,0.437,0.032
NLRP2,0.593,0.06,0.007,0.0,0.621,0.008,0.508,0.013,0.005,0.001,0.0,0.0,0.0,0.009,0.001,0.001
