,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
KRT17,0.0,0.0,0.402,0.0,0.0,0.451,0.384,0.423,0.0,0.0,0.0,0.339,0.0,0.0,0.0,0.441
PI3,0.0,0.0,0.522,0.276,0.0,0.486,0.341,0.432,0.0,0.0,0.0,0.283,0.181,0.0,0.0,0.0
CXCL6,0.0,0.0,0.0,0.438,0.0,0.237,0.487,0.469,0.324,0.0,0.0,0.0,0.0,0.218,0.378,0.0
GPC3,0.0,0.0,0.339,0.0,0.0,0.0,0.451,0.0,0.474,0.0,0.0,0.384,0.556,0.0,0.0,0.0
SFTPD,0.084,0.515,0.0,0.0,0.0,0.0,0.462,0.487,0.356,0.0,0.254,0.0,0.0,0.293,0.0,0.0
C4BPA,0.0,0.578,0.065,0.0,0.0,0.0,0.146,0.388,0.368,0.382,0.116,0.0,0.0,0.442,0.0,0.0
MAGEA1,0.0,0.372,0.365,0.415,0.468,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.335,0.379,0.0,0.156
MAGEA9,0.0,0.451,0.0,0.301,0.069,0.283,0.069,0.324,0.0,0.0,0.505,0.316,0.395,0.0,0.0,0.0
KRT23,0.0,0.0,0.517,0.0,0.281,0.174,0.0,0.155,0.0,0.356,0.329,0.55,0.0,0.25,0.0,0.0
DSG3,0.0,0.0,0.311,0.0,0.135,0.489,0.355,0.482,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.357
S100P,0.0,0.177,0.274,0.216,0.198,0.0,0.253,0.0,0.0,0.529,0.11,0.407,0.0,0.367,0.39,0.0
MAGEA12,0.0,0.136,0.577,0.345,0.276,0.0,0.0,0.0,0.0,0.0,0.161,0.182,0.373,0.4,0.308,0.0
S100A2,0.0,0.0,0.0,0.296,0.0,0.43,0.459,0.494,0.0,0.0,0.0,0.283,0.0,0.0,0.0,0.438
CLCA4,0.0,0.0,0.044,0.0,0.347,0.245,0.345,0.427,0.0,0.34,0.0,0.427,0.0,0.165,0.0,0.437
CLDN1,0.0,0.0,0.0,0.146,0.376,0.0,0.31,0.647,0.0,0.0,0.0,0.323,0.0,0.0,0.0,0.467
PTPRZ1,0.0,0.0,0.441,0.0,0.0,0.344,0.448,0.303,0.0,0.368,0.0,0.43,0.271,0.0,0.0,0.0
DEFB4,0.0,0.0,0.0,0.463,0.0,0.38,0.305,0.468,0.0,0.0,0.0,0.0,0.0,0.359,0.352,0.275
PENK,0.0,0.0,0.494,0.0,0.258,0.458,0.346,0.0,0.394,0.0,0.452,0.0,0.0,0.0,0.0,0.0
TFPI2,0.0,0.266,0.0,0.448,0.245,0.0,0.0,0.502,0.404,0.301,0.178,0.0,0.0,0.058,0.358,0.0
CLDN8,0.513,0.0,0.0,0.0,0.348,0.041,0.205,0.0,0.272,0.51,0.0,0.444,0.202,0.0,0.0,0.0
TMPRSS11D,0.0,0.0,0.0,0.0,0.196,0.463,0.49,0.518,0.0,0.0,0.0,0.439,0.0,0.0,0.214,0.0
CALML5,0.0,0.0,0.587,0.351,0.327,0.276,0.0,0.214,0.0,0.0,0.34,0.12,0.0,0.286,0.0,0.302
PRSS21,0.0,0.55,0.0,0.351,0.342,0.0,0.267,0.325,0.0,0.0,0.252,0.0,0.132,0.279,0.35,0.0
SERPINA3,0.0,0.186,0.445,0.381,0.0,0.193,0.267,0.295,0.397,0.0,0.0,0.0,0.297,0.294,0.308,0.0
TSPAN7,0.354,0.406,0.0,0.0,0.0,0.232,0.264,0.0,0.393,0.203,0.0,0.415,0.466,0.0,0.0,0.0
CCL20,0.0,0.0,0.0,0.325,0.0,0.0,0.438,0.46,0.227,0.0,0.0,0.0,0.0,0.33,0.575,0.0
PROM1,0.07,0.269,0.0,0.412,0.0,0.0,0.018,0.0,0.289,0.0,0.267,0.0,0.722,0.276,0.0,0.0
PADI3,0.0,0.0,0.0,0.073,0.0,0.0,0.425,0.43,0.0,0.486,0.313,0.343,0.0,0.0,0.0,0.42
BNC1,0.0,0.0,0.444,0.174,0.0,0.45,0.359,0.483,0.0,0.0,0.0,0.332,0.0,0.0,0.0,0.311
IVL,0.0,0.0,0.486,0.0,0.164,0.495,0.0,0.475,0.0,0.0,0.0,0.272,0.0,0.0,0.0,0.439
MAGEA11,0.0,0.305,0.0,0.114,0.0,0.128,0.152,0.469,0.0,0.0,0.413,0.397,0.07,0.376,0.159,0.367
