,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
TCGA-18-3406-01A-01R-1031-01,-0.6454099615681147,-0.03871486241720275,0.13747531486703846,0.33608030757255386,0.3851113724752113,0.04856358280191608,0.0565972215278691,-0.022387632999446502,0.10348762326235307,-0.31054248076096075,-0.2982789200644285,-0.18319126320486925,-0.11234470552342227,-0.012799165631506562,0.20655924602976974,0.1029393802442088
TCGA-18-3407-01A-01R-1031-01,-0.19059441159298127,-0.17982888335738764,0.055876023916981835,-0.2092283657411201,-0.12420702995178748,0.2893461402927811,0.01352296540924284,0.45234229373377344,0.44170498796152474,-0.13161779300396487,-0.4474393283738607,0.37705163468527514,-0.10613160669462426,-0.02112303250568615,-0.08743163752705016,-0.07962969366153107
TCGA-18-3408-01A-01R-1031-01,-0.11535113714402791,0.05783924889772758,-0.030289644961758337,-0.020854352952804668,-0.03128267462233275,0.09300835361644083,0.142446186056304,-0.36893081525407295,0.5346861428279217,0.05199616900428596,-0.6003697572901142,0.3412530977897706,0.052631813695606725,-0.1815980463362297,-0.07430676152424905,0.09595050640967301
TCGA-18-3410-01A-01R-1031-01,0.4042597327704529,-0.16776473676580178,-0.14710576752473903,0.3721402393381971,-0.14521292191019491,-0.11450300453924682,-0.08535289292319326,-0.22136204696688752,-0.09715431031349797,-0.3166174883844763,-0.022606860507207352,-0.19003141500818702,-0.10939243180570898,0.4743728100861814,-0.192492378279285,0.370753838148921
TCGA-18-3411-01A-01R-1031-01,0.06740159924011947,0.1347318760312063,-0.12944960547630535,0.5367752026903266,-0.1318334955148756,0.014586996324567386,0.15607818709228038,-0.3286794392262797,-0.08883883243761471,0.0822322740279157,-0.38460927039560316,0.3246874602633942,0.08122449668225264,-0.3138449167158415,0.20411944397195714,-0.3281380523162827
TCGA-18-3412-01A-01R-1031-01,-0.07993121153395234,0.029800063006275666,-0.03652182554411454,0.2481568286282967,0.122876531405433,-0.13446868697268347,0.1352532586048966,-0.05370944653610939,-0.49141954983359304,0.4216402447283113,-0.4816231840367299,0.3974183557351863,0.1223385249679865,-0.1181380092175165,-0.05865466068566668,-0.18414423702970498
TCGA-18-3414-01A-01R-1031-01,-0.25736486015595816,-0.2271302711621994,0.11851021363312432,0.26458771365690315,0.5019009895976194,-0.17285551279280084,0.4066125290634382,-0.07274401736783713,-0.06728363454730307,-0.013421737812557644,-0.005330423952334798,0.07690357230639272,-0.31182372310011924,-0.06561569604430287,-0.27274019159257124,0.39892141816011006
TCGA-18-3415-01A-01R-1031-01,0.01668958171268619,-0.029048346525397686,-0.25999173795850405,0.42728654778103486,0.07354283359627246,0.14786846624385772,0.23525557731259564,-0.08730179096477,-0.1043061031521017,0.07839890546244292,-0.6830200563251035,0.2736546330889231,0.07680553849810691,-0.2393286113852741,0.06147853278722839,-0.1818830410151926
TCGA-18-3416-01A-01R-1031-01,0.7009671602281995,-0.3830138512155896,-0.13601646289767935,-0.1142774204577161,-0.030275015907157584,-0.24760192260936467,-0.04658920728632958,0.10224235322615996,-0.07276291323400318,0.032064796544179396,-0.30580275908963933,0.32787802349572376,0.08280062368440526,0.11766207863516555,0.15436908673419308,-0.060549483133104647
TCGA-18-3419-01A-01R-1031-01,-0.1816901864595901,-0.095280830597113,-0.25767711232293894,-0.16307710278245965,0.004347489290718156,-0.17359703800212667,0.010518097781880167,0.07359595020922974,-0.4462390436952535,-0.1642478959117936,0.35801307990288567,0.42064234004684437,-0.02853323224796829,0.13195806953246741,0.5279907293865047,0.031866760693779965
TCGA-18-3421-01A-01R-1031-01,-0.26098894691162616,-0.128180701562494,-0.11745729013486443,0.39589913639625235,0.09510019255431641,0.04868653410060695,0.2764296136355002,-0.34135374186077305,-0.6081429779780424,0.12353023723662847,-0.05535215932580295,0.07829644136179224,-0.0034698861357411776,0.23952424052068239,0.228076047919175,-0.19203546948217334
TCGA-18-4086-01A-01R-1101-01,0.14718338018128285,-0.1301610650415933,0.0014629359274767914,-0.05809876144827905,0.02329891183503884,0.38582385173933054,0.09403219807061873,-0.19914495384628736,-0.17182411201936557,0.1855214081452632,-0.7593843740287238,-0.02321389279279816,0.0958335486462959,0.02198736236442988,-0.16212702959235217,-0.2881249297420014
TCGA-21-1075-01A-01R-0690-01,0.1062348148150726,0.22848636161245836,0.02113516728012454,-0.015300462672703642,-0.1558449195954706,0.22542470633415196,0.33688568421903464,-0.5780703605067661,-0.4773868931145418,0.1533941693609293,-0.179586772846216,0.1618094225157292,0.08917976208702741,-0.304567032350367,0.0437749137153532,-0.02395910615135695
TCGA-21-1076-01A-01R-0690-01,0.10018315278856986,0.03639816285397763,0.12018108197253242,-0.4859958570407512,-0.07873828093815215,0.1790656565907043,0.038146031777697306,0.39446735442822434,0.2347619457119644,-0.17598794059628808,-0.3324495627626433,-0.5355865204706698,0.042011196741968085,0.10666294861510069,0.14692466555719022,0.1564923727189208
TCGA-21-1077-01A-01R-0690-01,0.1200103107121434,0.366669527723589,0.003506176177463936,-0.3269193502575382,0.09590379148570632,0.3541247462998221,0.2745029746645699,-0.07539411705125784,-0.4402997050360563,-0.0138135231669782,-0.365694524734856,-0.312859083035168,0.16861800802671623,-0.2693975705357066,0.03957871386045331,-0.019567973849780686
TCGA-21-1078-01A-01R-0690-01,-0.2475457437790183,0.04385517416622687,-0.01733556697927796,-0.3127629819915469,-0.0405647332810489,-0.05607459619223621,-0.1786064235390746,-0.26188964949595134,0.1333322417382363,0.2428049750302967,-0.08557513388189361,-0.08804369681336967,-0.12849108809453083,0.04216946827089805,0.024542718550628007,0.789115463795059
