,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NTS,0.0,0.06,0.006,0.001,0.006,0.0,0.0,0.001,0.003,0.818,0.001,0.572,0.0,0.002,0.0,0.0
KRT14,0.0,0.036,0.008,0.0,0.0,0.0,0.021,0.0,0.001,0.999,0.0,0.004,0.0,0.0,0.0,0.0
SPRR3,0.0,0.098,0.013,0.001,0.001,0.0,0.001,0.001,0.001,0.993,0.0,0.06,0.0,0.001,0.0,0.0
KRT13,0.001,0.125,0.027,0.002,0.002,0.002,0.001,0.002,0.003,0.99,0.001,0.056,0.0,0.004,0.0,0.0
UPK1B,0.0,0.147,0.007,0.0,0.001,0.0,0.0,0.0,0.0,0.031,0.0,0.989,0.0,0.0,0.0,0.0
S100A7,0.0,0.003,0.002,0.001,0.0,0.0,0.794,0.0,0.001,0.608,0.0,0.0,0.004,0.0,0.0,0.006
HLA-DQA1,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.004,0.0,0.002,0.0,0.099,0.995
MAGEA4,0.003,0.0,0.0,0.023,0.231,0.001,0.0,0.003,0.032,0.005,0.849,0.089,0.0,0.002,0.466,0.0
AKR1B10,0.001,0.007,0.003,0.003,0.021,0.001,0.001,0.003,0.011,0.016,0.012,0.999,0.0,0.004,0.001,0.0
GSTA1,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.005,0.001,0.024,0.999,0.0,0.001,0.001,0.0
SPRR1B,0.0,0.047,0.01,0.001,0.0,0.0,0.008,0.001,0.001,0.999,0.0,0.01,0.0,0.001,0.0,0.0
SPRR1A,0.0,0.057,0.007,0.0,0.0,0.0,0.003,0.0,0.0,0.998,0.0,0.012,0.0,0.0,0.0,0.0
SFTPC,0.069,0.091,0.119,0.08,0.061,0.089,0.038,0.08,0.034,0.055,0.054,0.076,0.954,0.101,0.045,0.109
RPS4Y1,0.002,0.002,0.003,0.067,0.166,0.002,0.0,0.008,0.127,0.036,0.916,0.041,0.0,0.034,0.33,0.002
MMP10,0.01,0.056,0.051,0.01,0.001,0.003,0.324,0.009,0.009,0.943,0.001,0.01,0.01,0.011,0.001,0.002
CES1,0.001,0.001,0.001,0.002,0.055,0.001,0.0,0.002,0.007,0.002,0.027,0.998,0.0,0.002,0.003,0.0
LY6D,0.0,0.083,0.045,0.001,0.0,0.0,0.025,0.001,0.0,0.995,0.0,0.0,0.002,0.001,0.0,0.0
KRT6B,0.0,0.022,0.003,0.0,0.001,0.0,0.002,0.0,0.001,0.999,0.0,0.042,0.0,0.0,0.0,0.0
KRT6A,0.0,0.056,0.012,0.002,0.002,0.0,0.004,0.002,0.004,0.997,0.001,0.058,0.0,0.002,0.0,0.0
ADH1C,0.016,0.021,0.028,0.031,0.116,0.015,0.002,0.034,0.127,0.037,0.229,0.111,0.007,0.947,0.054,0.004
ADH7,0.0,0.009,0.002,0.001,0.011,0.0,0.0,0.001,0.004,0.013,0.003,1.0,0.0,0.002,0.0,0.0
FGG,0.004,0.001,0.003,0.005,0.001,0.004,0.016,0.005,0.002,0.001,0.003,0.001,0.927,0.005,0.013,0.373
SERPINB2,0.0,0.1,0.019,0.001,0.0,0.0,0.001,0.001,0.001,0.995,0.0,0.008,0.0,0.001,0.0,0.0
SCGB1A1,0.02,0.068,0.066,0.035,0.116,0.019,0.004,0.04,0.094,0.098,0.165,0.326,0.008,0.906,0.019,0.001
KRT5,0.0,0.117,0.017,0.001,0.0,0.0,0.002,0.001,0.001,0.993,0.0,0.017,0.0,0.001,0.0,0.0
PLUNC,0.004,0.0,0.001,0.004,0.0,0.001,0.039,0.003,0.009,0.001,0.012,0.0,0.128,0.035,0.077,0.987
LTF,0.01,0.363,0.249,0.049,0.016,0.014,0.088,0.052,0.051,0.446,0.015,0.164,0.242,0.703,0.002,0.108
SFTPB,0.028,0.11,0.124,0.045,0.021,0.04,0.031,0.045,0.018,0.048,0.016,0.045,0.975,0.066,0.009,0.071
CEACAM5,0.034,0.141,0.12,0.058,0.056,0.022,0.06,0.065,0.152,0.298,0.079,0.311,0.027,0.857,0.017,0.011
FBN2,0.001,0.018,0.002,0.001,0.003,0.0,0.001,0.001,0.001,0.018,0.0,1.0,0.0,0.0,0.0,0.0
DEFB1,0.003,0.0,0.0,0.003,0.002,0.0,0.009,0.002,0.039,0.004,0.217,0.0,0.002,0.046,0.974,0.034
NR0B1,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.003,0.0,0.022,0.997,0.0,0.001,0.001,0.0
CXCL14,0.02,0.059,0.04,0.023,0.011,0.01,0.981,0.022,0.024,0.155,0.012,0.08,0.009,0.015,0.004,0.005
CLCA2,0.001,0.04,0.011,0.002,0.001,0.0,0.008,0.002,0.006,0.998,0.001,0.056,0.0,0.002,0.0,0.0
SERPINB3,0.0,0.028,0.007,0.0,0.0,0.0,0.006,0.0,0.0,1.0,0.0,0.002,0.0,0.0,0.0,0.0
WIF1,0.856,0.06,0.033,0.039,0.169,0.042,0.061,0.047,0.03,0.038,0.05,0.468,0.006,0.021,0.017,0.004
KRT15,0.001,0.042,0.013,0.004,0.008,0.001,0.002,0.004,0.014,0.993,0.005,0.108,0.0,0.007,0.0,0.0
